Reporting period end,Subject,Category,Data Item,Class of business group,Class of business category,Class of business,Reporting year basis,Accident/underwriting year,Development year,Value,Notes
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2013,2,78000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2012,3,107000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2011,4,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2010,5,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2009,6,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2008,7,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2007,8,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2006,9,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Mortgage,Mortgage,Accident year,2005,10,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2015,0,3453000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2014,1,3147000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2013,2,2673000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2012,3,2476000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2011,4,2190000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2010,5,2001000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2009,6,2034000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2008,7,1848000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2007,8,1746000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2006,9,1726000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2005,10,1657000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2015,0,1861000000,"There is a significant transactional impact on the 2015 accident year data, excluding the impact of this transaction the estimated gross ultimate loss ratio for the 2015 accident year would be approximately 80 per cent."
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2014,1,1284000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2013,2,1183000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2012,3,1142000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2011,4,1028000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2010,5,916000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2009,6,846000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2008,7,836000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2007,8,697000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2006,9,633000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Employers' liability,Accident year,2005,10,657000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2015,0,1011000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2014,1,1042000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2013,2,1233000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2012,3,892000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2011,4,930000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2010,5,814000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2009,6,1129000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2008,7,1012000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2007,8,500000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2006,9,413000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2005,10,454000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2015,0,1297000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2014,1,1245000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2013,2,1290000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2012,3,1107000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2011,4,1171000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2010,5,1014000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2009,6,1416000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2008,7,1079000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2007,8,957000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2006,9,856000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Long-tail,Public and product liability,Accident year,2005,10,740000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2015,0,2758000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2014,1,2882000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2013,2,2065000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2012,3,2277000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2011,4,9114000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2010,5,7007000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2009,6,2671000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2008,7,2334000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2007,8,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2006,9,1746000000,
12/31/2015,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2005,10,1695000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2014,1,32000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2013,2,-55000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2012,3,10000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2011,4,5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2010,5,-2000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2009,6,-3000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2008,7,-1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2007,8,3000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2006,9,33000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2005,10,-41000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,,11,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2014,1,-79000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2013,2,-5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2012,3,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2011,4,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2010,5,-5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2009,6,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2008,7,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2007,8,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2006,9,12000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2005,10,-11000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,,11,-1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2014,1,63000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2013,2,-53000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2012,3,3000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2011,4,-91000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2010,5,-26000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2009,6,-19000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2008,7,-20000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2007,8,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2006,9,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2005,10,64000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,,11,53000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2014,1,47000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2013,2,-9000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2012,3,-9000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2011,4,-3000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2010,5,2000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2009,6,-1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2008,7,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2007,8,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2006,9,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2005,10,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,,11,2000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2014,1,10000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2013,2,5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2012,3,-1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2011,4,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2010,5,-1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2009,6,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2008,7,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2007,8,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2006,9,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,2005,10,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Aviation,Accident year,,11,-38000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2014,1,-9000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2013,2,-2000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2012,3,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2011,4,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2010,5,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2009,6,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2008,7,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2007,8,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2006,9,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,2005,10,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Consumer credit,Accident year,,11,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2014,1,-32000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2013,2,-20000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2012,3,2000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2011,4,-5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2010,5,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2009,6,-2000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2008,7,4000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2007,8,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2006,9,-3000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,2005,10,-1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Marine,Accident year,,11,35000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2014,1,5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2013,2,-102000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2012,3,-16000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2011,4,-12000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2010,5,-19000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2009,6,-16000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2008,7,-19000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2007,8,-13000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2006,9,-9000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,2005,10,-13000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other,Accident year,,11,-118000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2014,1,18000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2013,2,-8000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2012,3,-5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2011,4,11000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2010,5,6000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2009,6,15000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2008,7,5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2007,8,5000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2006,9,10000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,2005,10,1000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Other accident,Accident year,,11,61000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2014,1,-11000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2013,2,37000000,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2012,3,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2011,4,0,
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2010,5,#N/A,Data have been masked to maintain confidentiality.
12/31/2015,Gross,Ultimate cost change,Change in gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Other,Travel,Accident year,2009,6,#N/A,Data have been masked to maintain confidentiality.
